Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly BioSample Accession
GCF_003790385.1	ASM379038v1	Bifidobacterium bifidum		ICIS-643					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-11-18	RJZG01		SAMN06606988
GCF_003471595.1	ASM347159v1	Bifidobacterium bifidum		AM18-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRJP01	21.0	SAMN09734857
GCF_027671985.1	ASM2767198v1	Bifidobacterium bifidum		AM18-3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-11	JAQDZD01	22.0	SAMN31809058
GCF_027671935.1	ASM2767193v1	Bifidobacterium bifidum		AM18-64					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-11	JAQDZJ01	20.0	SAMN31809064
GCF_016069985.1	ASM1606998v1	Bifidobacterium bifidum		VKPM Ac-1579					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-12-15	JACTOD01		SAMN15880060
GCF_030218415.1	ASM3021841v1	Bifidobacterium bifidum		UMB0776B					GCF_030218415.1-RS_2024_03_14	Contig	2023-06-07	JASOPT01		SAMN34996462
GCF_009078005.1	ASM907800v1	Bifidobacterium bifidum		BIOML-A5					GCF_009078005.1-RS_2024_04_03	Contig	2019-10-15	WDOH01		SAMN11944595
GCF_009077955.1	ASM907795v1	Bifidobacterium bifidum		BIOML-A7					GCF_009077955.1-RS_2024_04_03	Contig	2019-10-15	WDOJ01		SAMN11944597
GCF_003468415.1	ASM346841v1	Bifidobacterium bifidum		AM36-1AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSHW01	7.0	SAMN09736479
GCF_028203875.1	ASM2820387v1	Bifidobacterium bifidum		H3_h1001283B150217_200217					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKIQ01	12.0	SAMN31321371
GCF_003470615.1	ASM347061v1	Bifidobacterium bifidum		AM18-12AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRJM01	21.0	SAMN09734861
GCF_028202495.1	ASM2820249v1	Bifidobacterium bifidum		H9_hBSD2780061687_210209					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKIB01	13.0	SAMN31321394
GCF_027693645.1	ASM2769364v1	Bifidobacterium bifidum		OF24-2pH5A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQEWT01	12.0	SAMN31809677
GCF_027724105.1	ASM2772410v1	Bifidobacterium bifidum		AF06-45B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQCQC01	18.0	SAMN31807734
GCF_028203495.1	ASM2820349v1	Bifidobacterium bifidum		RTP21484st2_A9_RTP21484_190118					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKHR01	11.0	SAMN31321414
GCF_028202225.1	ASM2820222v1	Bifidobacterium bifidum		1025st1_F12_1025SCRN_200924					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKJE01	9.0	SAMN31321352
GCF_027693395.1	ASM2769339v1	Bifidobacterium bifidum		OF26-14pH9A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQEXC01	17.0	SAMN31809686
GCF_029723595.1	ASM2972359v1	Bifidobacterium bifidum		LH_1016					GCF_029723595.1-RS_2024_04_14	Contig	2023-04-13	JAKEZC01		SAMN24838603
GCF_020908005.1	ASM2090800v1	Bifidobacterium bifidum		ICIS-504					GCF_020908005.1-RS_2024_04_06	Contig	2021-11-21	JAJJPE01		SAMN22746550
GCF_033959405.1	ASM3395940v1	Bifidobacterium bifidum		BB11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-11-27	JAWZTF01	17.0	SAMN38280574
GCF_034427835.1	ASM3442783v1	Bifidobacterium bifidum		CCRC11847					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-12-17	JAXQKX01	17.0	SAMN38289445
GCF_028203735.1	ASM2820373v1	Bifidobacterium bifidum		F6_h1001283B150217_200217					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKIL01	17.0	SAMN31321377
GCF_028202035.1	ASM2820203v1	Bifidobacterium bifidum		B1_h1001283B150217_200217					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKIU01	20.0	SAMN31321367
GCF_028203705.1	ASM2820370v1	Bifidobacterium bifidum		G10_h1001283B150217_200217					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKII01	13.0	SAMN31321380
GCF_003472345.1	ASM347234v1	Bifidobacterium bifidum		AM12-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRLR01	11.0	SAMN09734784
GCF_028202165.1	ASM2820216v1	Bifidobacterium bifidum		1001283st1_F3_1001283B150210_160208					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKJL01	16.0	SAMN31321344
GCF_028202215.1	ASM2820221v1	Bifidobacterium bifidum		1001283st1_F5_1001283B150209_150212					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKJK01	20.0	SAMN31321345
GCF_028202125.1	ASM2820212v1	Bifidobacterium bifidum		1001283st1_F2_1001283B150304_161114					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKJM01	17.0	SAMN31321343
GCF_028202575.1	ASM2820257v1	Bifidobacterium bifidum		1001283st1_E8_1001283B150210_160208					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKJO01	17.0	SAMN31321341
GCF_028202725.1	ASM2820272v1	Bifidobacterium bifidum		1001283st1_C8_1001283B150304_161114					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKJQ01	14.0	SAMN31321339
GCF_028202335.1	ASM2820233v1	Bifidobacterium bifidum		1001283st1_A1_1001285H_161024					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKJT01	16.0	SAMN31321336
GCF_017814645.1	ASM1781464v1	Bifidobacterium bifidum		BB-G90					GCF_017814645.1-RS_2024_04_29	Contig	2021-04-06	JAGJCE01		SAMN18436315
GCF_028202185.1	ASM2820218v1	Bifidobacterium bifidum		BSD2780061688st1_D1_BSD2780061688b_171218					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKJC01	10.0	SAMN31321359
GCF_027685785.1	ASM2768578v1	Bifidobacterium bifidum		AF11-44					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQCTT01	17.0	SAMN31807829
GCF_028202255.1	ASM2820225v1	Bifidobacterium bifidum		1025st1_B5_1025SCRN_200924					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKJH01	15.0	SAMN31321348
GCF_039063425.1	ASM3906342v1	Bifidobacterium bifidum		2227st1_E10_2227SCRN_220401					GCF_039063425.1-RS_2024_05_04	Scaffold	2024-05-02	JBCJCK01	19.0	SAMN41062854
GCF_001020405.1	Bbif06v4	Bifidobacterium bifidum		IPLA 20015					GCF_001020405.1-RS_2024_04_05	Contig	2015-06-05	JSDW01		SAMN03103719
GCF_028203515.1	ASM2820351v1	Bifidobacterium bifidum		A2_hBSD2780061687b_210117					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKIA01	15.0	SAMN31321395
GCF_003437945.1	ASM343794v1	Bifidobacterium bifidum		TF05-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSSS01	15.0	SAMN09736871
GCF_002114145.1	ASM211414v1	Bifidobacterium bifidum		ICIS-310					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-04-28	NBYL01		SAMN05858649
GCF_027687915.1	ASM2768791v1	Bifidobacterium bifidum		AF05-42B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQCPX01	27.0	SAMN31807729
GCF_028203615.1	ASM2820361v1	Bifidobacterium bifidum		A12_h1001283B150217_200217					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKIP01	12.0	SAMN31321372
GCF_028203795.1	ASM2820379v1	Bifidobacterium bifidum		C4_h1001283B150217_200217					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKIN01	11.0	SAMN31321375
GCF_003437325.1	ASM343732v1	Bifidobacterium bifidum		TF06-14AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSSD01	18.0	SAMN09736890
GCF_009160945.1	ASM916094v1	Bifidobacterium bifidum		BIOML-A13					GCF_009160945.1-RS_2024_04_06	Scaffold	2019-10-16	WDOP01	71.0	SAMN11944603
GCF_009078115.1	ASM907811v1	Bifidobacterium bifidum		BIOML-A10					GCF_009078115.1-RS_2024_04_04	Scaffold	2019-10-15	WDOM01	22.0	SAMN11944600
GCF_009159555.1	ASM915955v1	Bifidobacterium bifidum		BIOML-A19					GCF_009159555.1-RS_2024_04_04	Scaffold	2019-10-16	WDOV01	31.0	SAMN11944609
GCF_009160905.1	ASM916090v1	Bifidobacterium bifidum		BIOML-A12					GCF_009160905.1-RS_2024_04_05	Scaffold	2019-10-16	WDOO01	19.0	SAMN11944602
GCF_028203835.1	ASM2820383v1	Bifidobacterium bifidum		D53st1_B4_D53t1_180928					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKIV01	10.0	SAMN31321366
GCF_027687815.1	ASM2768781v1	Bifidobacterium bifidum		AF06-26B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQCQB01	15.0	SAMN31807733
GCF_027683875.1	ASM2768387v1	Bifidobacterium bifidum		AF28-10A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQCWY01	22.0	SAMN31807912
GCF_027683825.1	ASM2768382v1	Bifidobacterium bifidum		AF28-14ACA					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQCWZ01	25.0	SAMN31807913
GCF_029723675.1	ASM2972367v1	Bifidobacterium bifidum		LH_1013					GCF_029723675.1-RS_2024_04_14	Contig	2023-04-13	JAKEZD01		SAMN24838602
GCF_003094755.1	ASM309475v1	Bifidobacterium bifidum		DS30_23					GCF_003094755.1-RS_2024_03_30	Contig	2018-05-06	QDIJ01		SAMN08949003
GCF_029723695.1	ASM2972369v1	Bifidobacterium bifidum		LH_986					GCF_029723695.1-RS_2024_04_14	Contig	2023-04-13	JAKEZH01		SAMN24838598
GCF_015551545.1	ASM1555154v1	Bifidobacterium bifidum		D31t1_170403_D8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-11-17	JADNCY01	18.0	SAMN15532543
GCF_027690835.1	ASM2769083v1	Bifidobacterium bifidum		TF05-23A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQFBW01	18.0	SAMN31809810
GCF_009159495.1	ASM915949v1	Bifidobacterium bifidum		BIOML-A24					GCF_009159495.1-RS_2024_04_06	Scaffold	2019-10-16	WDOY01	129.0	SAMN11944614
GCF_009160915.1	ASM916091v1	Bifidobacterium bifidum		BIOML-A15					GCF_009160915.1-RS_2024_04_06	Scaffold	2019-10-16	WDOR01	95.0	SAMN11944605
GCF_001020335.1	Bbif08v4	Bifidobacterium bifidum		LMG 11583					GCF_001020335.1-RS_2024_04_05	Contig	2015-06-05	JSDZ01		SAMN03097404
GCF_027662655.1	ASM2766265v1	Bifidobacterium bifidum		AM07-8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-11	JAQDJG01	15.0	SAMN31808520
GCF_028202595.1	ASM2820259v1	Bifidobacterium bifidum		1001216st1_H2_BSD2780120875b_170604					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKKA01	19.0	SAMN31321329
GCF_028202785.1	ASM2820278v1	Bifidobacterium bifidum		1001216st1_E8_1001216I_160404					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKKB01	16.0	SAMN31321328
GCF_028202835.1	ASM2820283v1	Bifidobacterium bifidum		1001216st1_H8_1001216I_160404					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKJY01	19.0	SAMN31321331
GCF_028202055.1	ASM2820205v1	Bifidobacterium bifidum		D31st1_E7_D31t1_170403					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKIY01	21.0	SAMN31321363
GCF_009160825.1	ASM916082v1	Bifidobacterium bifidum		BIOML-A25					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-10-16	WDOZ01	45.0	SAMN11944615
GCF_009159505.1	ASM915950v1	Bifidobacterium bifidum		BIOML-A20					GCF_009159505.1-RS_2024_04_04	Scaffold	2019-10-16	WDOW01	24.0	SAMN11944610
GCF_009160885.1	ASM916088v1	Bifidobacterium bifidum		BIOML-A14					GCF_009160885.1-RS_2024_04_04	Scaffold	2019-10-16	WDOQ01	18.0	SAMN11944604
GCF_009078055.1	ASM907805v1	Bifidobacterium bifidum		BIOML-A11					GCF_009078055.1-RS_2024_04_03	Scaffold	2019-10-15	WDON01	21.0	SAMN11944601
GCF_029723435.1	ASM2972343v1	Bifidobacterium bifidum		LH_1044					GCF_029723435.1-RS_2024_04_14	Contig	2023-04-13	JAKEYY01		SAMN24838607
GCF_028203895.1	ASM2820389v1	Bifidobacterium bifidum		H2_h1001283B150217_200217					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKIR01	14.0	SAMN31321370
GCF_011029205.1	ASM1102920v1	Bifidobacterium bifidum		VA07-1AN					GCF_011029205.1-RS_2024_04_05	Contig	2020-02-26	JAAJBJ01		SAMN14087237
GCF_028201935.1	ASM2820193v1	Bifidobacterium bifidum		1025st1_E4_1025SCRN_200924					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKJF01	6.0	SAMN31321351
GCF_027689885.1	ASM2768988v1	Bifidobacterium bifidum		TM02-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQFDS01	20.0	SAMN31809858
GCF_003473145.1	ASM347314v1	Bifidobacterium bifidum		AM12-9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRLK01	12.0	SAMN09734792
GCF_027689545.1	ASM2768954v1	Bifidobacterium bifidum		TM10-26ACA					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQFEI01	20.0	SAMN31809874
GCF_003470585.1	ASM347058v1	Bifidobacterium bifidum		AM18-29					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRJI01	21.0	SAMN09734868
GCF_027662535.1	ASM2766253v1	Bifidobacterium bifidum		AM09-1-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-11	JAQDJN01	21.0	SAMN31808527
GCF_025506295.1	ASM2550629v1	Bifidobacterium bifidum		20					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-30	VRKP01		SAMN12565454
GCF_028203535.1	ASM2820353v1	Bifidobacterium bifidum		RTP21221st1_G2_RTP21221_200709					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKHS01	18.0	SAMN31321406
GCF_028202555.1	ASM2820255v1	Bifidobacterium bifidum		B6_h1001283B150217_200217					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKIO01	19.0	SAMN31321373
GCF_027691805.1	ASM2769180v1	Bifidobacterium bifidum		OM06-6BHA					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQEZZ01	14.0	SAMN31809761
GCF_028202355.1	ASM2820235v1	Bifidobacterium bifidum		1001283st1_E8_1001285I_161205					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKJN01	16.0	SAMN31321342
GCF_028202365.1	ASM2820236v1	Bifidobacterium bifidum		1001283st1_B11_1001285I_161205					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKJS01	17.0	SAMN31321337
GCF_039612605.1	ASM3961260v1	Bifidobacterium bifidum		NB42					GCF_039612605.1-RS_2024_05_11	Contig	2024-05-10	JBCFAF01		SAMN41013440
GCF_028368265.1	ASM2836826v1	Bifidobacterium bifidum		RTP21484st2_G9_RTP21484_190118					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-31	JAQNBP01	12.0	SAMN31321246
GCF_015667555.1	ASM1566755v1	Bifidobacterium bifidum		1001136B_160425_F1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-11-23	JADPEE01	22.0	SAMN15532708
GCF_028202855.1	ASM2820285v1	Bifidobacterium bifidum		1001136st1_C1_1001136B_160425					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKKD01	20.0	SAMN31321326
GCF_001020265.1	Bbif05v4	Bifidobacterium bifidum		IPLA 20017					GCF_001020265.1-RS_2024_04_04	Contig	2015-06-05	JSDX01		SAMN03097402
GCF_008868415.1	ASM886841v1	Bifidobacterium bifidum		BIO5480					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-10-07	WBNT01		SAMN12856545
GCF_029723555.1	ASM2972355v1	Bifidobacterium bifidum		LH_1036					GCF_029723555.1-RS_2024_04_14	Scaffold	2023-04-13	JAKEYZ01	33.0	SAMN24838606
GCF_028202305.1	ASM2820230v1	Bifidobacterium bifidum		1025st1_A12_1025SCRN_200924					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKJI01	21.0	SAMN31321347
GCF_028201895.1	ASM2820189v1	Bifidobacterium bifidum		G6_h1001283B150217_200217					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKIS01	15.0	SAMN31321369
GCF_002076105.1	Bbif1887B	Bifidobacterium bifidum		1887B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-03-31	NAQK01		SAMN06621707
GCF_028203815.1	ASM2820381v1	Bifidobacterium bifidum		F5_h1001283B150217_200217					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKIM01	15.0	SAMN31321376
GCF_027690095.1	ASM2769009v1	Bifidobacterium bifidum		TF12-7ATA					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQFDG01	23.0	SAMN31809846
GCF_039031595.1	ASM3903159v1	Bifidobacterium bifidum		1001216st1_A9_RTP31141_220114					GCF_039031595.1-RS_2024_05_05	Scaffold	2024-05-02	JBCITR01	28.0	SAMN40657048
GCF_003466365.1	ASM346636v1	Bifidobacterium bifidum		TM06-5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSPA01	23.0	SAMN09736996
GCF_005844365.1	ASM584436v1	Bifidobacterium bifidum		1001271st1_H11					GCF_005844365.1-RS_2024_05_20	Scaffold	2019-05-26	SPGB01	20.0	SAMN10863260
GCF_028202675.1	ASM2820267v1	Bifidobacterium bifidum		1001271st1_H11_1001271B_150615					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKJU01	20.0	SAMN31321335
GCF_003465425.1	ASM346542v1	Bifidobacterium bifidum		AF11-25B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSAO01	18.0	SAMN09734209
GCF_001685685.1	ASM168568v1	Bifidobacterium bifidum		BI-14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-06-09	BCXK01		SAMD00047595
GCF_028202815.1	ASM2820281v1	Bifidobacterium bifidum		1001271st1_A6_1001270H_150608					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKJX01	16.0	SAMN31321332
GCF_028202075.1	ASM2820207v1	Bifidobacterium bifidum		D31st1_A3_D31t1_170403					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKJA01	20.0	SAMN31321361
GCF_028202095.1	ASM2820209v1	Bifidobacterium bifidum		D31st1_B4_D31t1_170403					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKIZ01	20.0	SAMN31321362
GCF_027667785.1	ASM2766778v1	Bifidobacterium bifidum		AM63-12ACA					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-11	JAQEFP01	28.0	SAMN31809227
GCF_003436655.1	ASM343665v1	Bifidobacterium bifidum		TM02-15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSQF01	22.0	SAMN09736964
GCF_039031615.1	ASM3903161v1	Bifidobacterium bifidum		1001216st1_E8_RTP31141_220114					GCF_039031615.1-RS_2024_05_05	Scaffold	2024-05-02	JBCITS01	19.0	SAMN40657049
GCF_028203775.1	ASM2820377v1	Bifidobacterium bifidum		F11_h1001283B150217_200217					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKIK01	18.0	SAMN31321378
GCF_003466395.1	ASM346639v1	Bifidobacterium bifidum		TM06-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSPI01	26.0	SAMN09736987
GCF_003436635.1	ASM343663v1	Bifidobacterium bifidum		TM02-17					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSQE01	23.0	SAMN09736965
GCF_003471555.1	ASM347155v1	Bifidobacterium bifidum		AM18-11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRJN01	22.0	SAMN09734860
GCF_009159095.1	ASM915909v1	Bifidobacterium bifidum		BIOML-A21					GCF_009159095.1-RS_2024_04_06	Scaffold	2019-10-16	WDOX01	103.0	SAMN11944611
GCF_028202715.1	ASM2820271v1	Bifidobacterium bifidum		1001271st1_G7_1001270J_160509					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKJV01	34.0	SAMN31321334
GCF_015549755.1	ASM1554975v1	Bifidobacterium bifidum		D52t1_170925_G6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-11-17	JADMZN01	25.0	SAMN15532784
GCF_028202015.1	ASM2820201v1	Bifidobacterium bifidum		D52st1_E11_D52t1_170925					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKIX01	22.0	SAMN31321364
GCF_039031575.1	ASM3903157v1	Bifidobacterium bifidum		1001216st1_G12_RTP31141_220114					GCF_039031575.1-RS_2024_05_05	Scaffold	2024-05-02	JBCITT01	33.0	SAMN40657050
GCF_028203575.1	ASM2820357v1	Bifidobacterium bifidum		F10_hBSD2780061687_210209					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKIC01	20.0	SAMN31321389
GCF_029723375.1	ASM2972337v1	Bifidobacterium bifidum		LH_1045					GCF_029723375.1-RS_2024_04_14	Contig	2023-04-13	JAKEYX01		SAMN24838608
GCF_003094795.1	ASM309479v1	Bifidobacterium bifidum		DS25_23					GCF_003094795.1-RS_2024_04_03	Contig	2018-05-06	QDJA01		SAMN08949001
GCF_039063545.1	ASM3906354v1	Bifidobacterium bifidum		2227st1_A6_2227SCRN_220401					GCF_039063545.1-RS_2024_05_05	Scaffold	2024-05-02	JBCJCL01	27.0	SAMN41062853
GCF_029723575.1	ASM2972357v1	Bifidobacterium bifidum		LH_1048					GCF_029723575.1-RS_2024_04_14	Contig	2023-04-13	JAKEYV01		SAMN24838610
GCF_001546225.1	ASM154622v1	Bifidobacterium bifidum		MJR8628B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-02-02	LRPO01	34.0	SAMN03842220
GCF_028203625.1	ASM2820362v1	Bifidobacterium bifidum		E2_hBSD2780061687_210209					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKID01	38.0	SAMN31321386
GCF_009160845.1	ASM916084v1	Bifidobacterium bifidum		BIOML-A17					GCF_009160845.1-RS_2024_04_05	Scaffold	2019-10-16	WDOT01	75.0	SAMN11944607
GCF_003094735.1	ASM309473v1	Bifidobacterium bifidum		DS31_23					GCF_003094735.1-RS_2024_04_03	Contig	2018-05-06	QDII01		SAMN08949004
GCF_003094715.1	ASM309471v1	Bifidobacterium bifidum		DS32_23					GCF_003094715.1-RS_2024_04_06	Contig	2018-05-06	QDIX01		SAMN08949005
GCF_015667195.1	ASM1566719v1	Bifidobacterium bifidum		1001271B_151109_F2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-11-23	JADPDP01	104.0	SAMN15533074
GCF_028202735.1	ASM2820273v1	Bifidobacterium bifidum		1001271st1_F2_1001271B_151109					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKJW01	105.0	SAMN31321333
GCF_003094645.1	ASM309464v1	Bifidobacterium bifidum		DS33_23					GCF_003094645.1-RS_2024_04_03	Contig	2018-05-06	QDIH01		SAMN08949006
GCF_003095035.1	ASM309503v1	Bifidobacterium bifidum		DS26_23					GCF_003095035.1-RS_2024_04_03	Contig	2018-05-06	QDIM01		SAMN08949002
GCF_009160865.1	ASM916086v1	Bifidobacterium bifidum		BIOML-A16					GCF_009160865.1-RS_2024_04_06	Scaffold	2019-10-16	WDOS01	158.0	SAMN11944606
GCF_009160775.1	ASM916077v1	Bifidobacterium bifidum		BIOML-A18					GCF_009160775.1-RS_2024_04_06	Scaffold	2019-10-16	WDOU01	196.0	SAMN11944608
GCF_024341745.1	ASM2434174v1	Bifidobacterium bifidum JCM 1254		JCM 1254					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-07-05	BQJY01		SAMD00422522
GCF_901212485.1	NZ_Bifidobacterium_bifidum_MC1	Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456					Bifidobacterium_bifidum_MC1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-05-10	CAAKNT01	53.0	SAMEA5574692
GCF_001020415.1	Bbif09v4	Bifidobacterium bifidum LMG 13195		LMG 13195					GCF_001020415.1-RS_2024_04_03	Contig	2015-06-05	JSEA01		SAMN03103720
GCF_001270785.1	ASM127078v1	Lactobacillus johnsonii 16		16					GCF_001270785.1-RS_2024_05_21	Contig	2015-08-19	LIGY01		SAMN03995694
