Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly BioSample Accession
GCF_002166275.1	ASM216627v1	Escherichia coli		26.1a					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-06-05	NIEG01	192.0	SAMN06856392
GCF_014904665.2	ASM1490466v2	Escherichia coli		NT1A1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-05-21	JACYHU02		SAMN16120625
GCF_038405955.1	ASM3840595v1	Klebsiella pneumoniae		WYZHKP07					GCF_038405955.1-RS_2024_04_23	Contig	2024-04-21	JBBYIR01		SAMN40969790
GCF_032681265.1	ASM3268126v1	Salmonella enterica		JE4313					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-15		2.0	SAMN37648166
GCF_014495135.1	ASM1449513v1	Escherichia coli		BA25291_2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-09-08	JACUXP01		SAMN14997940
GCF_014494275.1	ASM1449427v1	Escherichia coli		FF2501					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-09-08	JACUZH01		SAMN14997985
GCF_023952585.1	ASM2395258v1	Escherichia coli		DR165-CIP					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-06-27	JALPZV01		SAMN27780048
GCF_001675265.1	ASM167526v1	Acinetobacter baumannii		28					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-06-22	MAFT01		SAMN05271226
GCF_023887665.1	ASM2388766v1	Pseudomonas aeruginosa		B1122					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-06-23	JAMWMN01		SAMN28104819
GCF_000335155.2	ASM33515v2	Escherichia coli 99.1762		99.1762					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2013-01-31	AOER01		SAMN01728942
GCF_002511865.1	ASM251186v1	Escherichia coli		MOD1-EC6514					GCF_002511865.1-RS_2024_04_26	Contig	2017-10-11	NLWB01		SAMN04993136
GCF_021474285.1	ASM2147428v1	Salmonella enterica		2017005-SE					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-01-15		2.0	SAMN24619910
GCF_017161155.1	ASM1716115v1	Klebsiella pneumoniae		EGKP6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-03-03		6.0	SAMN14858807
GCF_009762085.1	ASM976208v1	Escherichia coli		TzEc031					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-12-17	WSHV01		SAMN13068737
GCF_002531275.1	ASM253127v1	Escherichia coli		OLC1357					GCF_002531275.1-RS_2024_05_06	Contig	2017-10-12	NWRX01		SAMN05504953
GCF_023005085.1	ASM2300508v1	Acinetobacter baumannii		PSU127					GCF_023005085.1-RS_2024_05_08	Scaffold	2022-04-14	JAIGWQ01	99.0	SAMN20599266
GCF_030717585.1	ASM3071758v1	Staphylococcus aureus		2.3a					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-08-13		2.0	SAMN34213605
GCF_030908565.1	ASM3090856v1	Escherichia coli		RSM044					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2023-08-27		3.0	SAMN37045108
GCF_019286635.1	ASM1928663v1	Klebsiella pneumoniae subsp. pneumoniae		WRC05_CMC387PC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-07-20		7.0	SAMN20115179
GCF_017595525.1	ASM1759552v1	Escherichia coli		18-47-83					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-03-27	JAFMWD01		SAMN18228099
GCF_010178825.1	ASM1017882v1	Acinetobacter baumannii		BA27713					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-02-04	JAAEGF01		SAMN13943329
GCF_026612305.1	ASM2661230v1	Escherichia coli		Q15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-12-02	JACYKN01	177.0	SAMN16232055
GCF_003422385.1	ASM342238v1	Staphylococcus aureus		M6K138					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-20	BECA01	43.0	SAMD00083636
GCF_016391525.1	ASM1639152v1	Enterococcus faecalis		VRE32930					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-12-24	JAEKBT01		SAMN10437309
GCF_001827295.1	ASM182729v1	Listeria monocytogenes		BCW_4294					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-09-29	MJQI01	39.0	SAMN03358022
GCF_029457915.1	ASM2945791v1	Escherichia coli		LBV084/18_pyometra					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-03-29	JAPQLW01		SAMN31318164
GCF_029904265.1	ASM2990426v1	Klebsiella pneumoniae		Kp85-d9-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-04-28	JARJIH01		SAMN33731304
GCF_015774835.1	ASM1577483v1	Staphylococcus aureus		JW31330_O1_dhc					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-07		1.0	SAMN16825853
GCF_003227555.1	ASM322755v1	Klebsiella pneumoniae subsp. pneumoniae		DG6664					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-06-14	PQUJ01		SAMN08399051
GCF_022559465.1	ASM2255946v1	Salmonella enterica		467					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-03-14		3.0	SAMN15941596
GCF_022095525.1	ASM2209552v1	Salmonella enterica subsp. diarizonae		N21-2119					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-02-08	JAKMZY01		SAMN25580690
GCF_002043155.1	ASM204315v1	Salmonella enterica		BCW_6621					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-03-20	MYUF01		SAMN03360200
GCF_002788295.1	ASM278829v1	Escherichia coli		AR_0011					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-11-20		4.0	SAMN04014852
GCF_024918035.1	ASM2491803v1	Escherichia coli		3036					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-04		4.0	SAMN28174012
GCF_001051095.1	ASM105109v1	Streptococcus pyogenes		HKU488					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-07-09		1.0	SAMN03846812
GCF_003954555.1	ASM395455v1	Pseudomonas aeruginosa		R4730					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-12-18	RWWK01		SAMN10523600
GCF_005041935.1	ASM504193v1	Escherichia coli		FWSEC0348					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-05-01	RRLY01	80.0	SAMN08797220
GCF_025482095.1	ASM2548209v1	Enterococcus faecalis		19-958					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-28	JANZRK01		SAMN30596918
GCF_031775545.1	ASM3177554v1	Escherichia coli		R_11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-09-20	JAUHVF01		SAMN36176665
GCF_021136115.1	ASM2113611v1	Klebsiella pneumoniae		MCL-2017-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-12-09	JAIUAG01		SAMN21016481
GCF_003306195.1	ASM330619v1	Escherichia coli		TUM18740					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-06-29	BGXT01		SAMD00126565
GCF_036531575.1	ASM3653157v1	Escherichia coli		20200203_MGL-11_B1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-09	JARCZR01		SAMN32745589
GCF_030551705.1	ASM3055170v1	Klebsiella pneumoniae		KMB-1240					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-07-29	JAUPCB01		SAMN36634153
GCF_002996885.1	ASM299688v1	Serratia marcescens		AR_0091					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-03-14		1.0	SAMN04014932
GCF_029915645.1	ASM2991564v1	Klebsiella pneumoniae		HENAN255					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-05-01	JAMNVH01	133.0	SAMN28546446
GCF_023913865.1	ASM2391386v1	Acinetobacter baumannii		AB190					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-06-26	JAMXBQ01	62.0	SAMN29132633
GCF_027086785.1	ASM2708678v1	Escherichia coli		E2240					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-19	JAPVCI01		SAMN32217098
GCF_030516795.1	ASM3051679v1	Acinetobacter baumannii		LBMM 6385					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-07-21	JARNLY01		SAMN33796063
GCF_030410695.1	ASM3041069v1	Klebsiella pneumoniae		213H4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-07-05	JAUHHP01		SAMN36035817
GCF_003226075.1	ASM322607v1	Klebsiella pneumoniae		Kp1357					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-06-12	QKNO01		SAMN09104653
GCF_002734985.1	ASM273498v1	Escherichia coli O26:H11		TC6168					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-10-24	BEJV01	262.0	SAMD00075753
GCF_009897445.1	ASM989744v1	Staphylococcus aureus		APC 3822					GCF_009897445.1-RS_2024_03_16	Contig	2020-01-16	SHFJ01		SAMN10929321
GCF_019958145.1	ASM1995814v1	Escherichia coli		DDBR1-3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-09-13	JAIOWN01	159.0	SAMN20970084
GCF_000468555.2	ASM46855v1	Pseudomonas aeruginosa PAO581		PAO581					GCF_000468555.2-RS_2024_03_21	Chromosome	2013-09-16		1.0	SAMN02603587
GCF_032337375.1	ASM3233737v1	Salmonella enterica		SA048					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-10-03	JAVXYN01		SAMN37549961
GCF_036418295.1	ASM3641829v1	Pseudomonas aeruginosa		PA4_YH3_36.21_ST773_NDM1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-02-06		1.0	SAMN39669677
GCF_000188935.1	ASM18893v2	Salmonella enterica subsp. enterica serovar Montevideo str. 609460		609460			FDA_2010_216_Black Pepper-2		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2011-02-10	AETH01		SAMN00710607
GCF_002193615.1	ASM219361v1	Salmonella enterica subsp. enterica serovar Typhimurium		LT19					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-06-14	NDGR01		SAMN06706253
GCF_021496405.1	ASM2149640v1	Escherichia coli		1162C					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-01-18		2.0	SAMN14611938
GCF_037822845.1	ASM3782284v1	Salmonella enterica subsp. enterica serovar 4,[5],12:i:-		Z1323SSL0063					GCF_037822845.1-RS_2024_04_05	Complete Genome	2024-04-05		2.0	SAMN40440248
GCF_033336595.1	ASM3333659v1	Klebsiella pneumoniae		MUWRP4588					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-11-04	JAWOXV01		SAMN37358298
GCF_034033475.1	ASM3403347v1	Staphylococcus aureus		Dog103					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-12-01		3.0	SAMN33696795
GCF_022812305.1	ASM2281230v1	Escherichia coli		Gb685					GCF_022812305.1-RS_2024_05_15	Contig	2022-04-04	JAIPXI01		SAMN21352834
GCF_002776065.1	ASM277606v1	Listeria monocytogenes		LM61					GCF_002776065.1-RS_2024_04_30	Contig	2017-11-16	NOZU01		SAMN07420973
GCF_021556365.1	ASM2155636v1	Salmonella enterica subsp. enterica serovar Weltevreden		393					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-01-23	JAKGDX01		SAMN24979243
GCF_002459845.1	ASM245984v1	Escherichia coli		MOD1-EC1678					GCF_002459845.1-RS_2024_04_26	Contig	2017-10-05	NKOQ01		SAMN05607368
GCF_008762975.1	ASM876297v1	Staphylococcus aureus		H4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-10-01	VRQG01		SAMN12569151
GCF_020003595.1	ASM2000359v1	Salmonella enterica		S11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-09-15	JAHQUE01	99.0	SAMN19819847
GCF_032647105.1	ASM3264710v1	Escherichia coli		GDH9D113M					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-10-13	JAOQHD01	176.0	SAMN31029352
GCF_000584155.1	ASM58415v1	Acinetobacter baumannii 836190		836190					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2014-03-03	JFFA01		SAMN02404543
GCF_020163975.1	ASM2016397v1	Salmonella enterica subsp. enterica serovar Derby		SH19MPS14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-09-26	JAHUAS01		SAMN20087440
GCF_023516115.1	ASM2351611v1	Escherichia coli		19SZHZ886Rt					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-05-22		5.0	SAMN20339664
GCF_006234175.1	ASM623417v1	Escherichia coli		NOR4_73					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-06-11	SQFK01	144.0	SAMN11232920
GCF_019430625.1	ASM1943062v1	Pseudomonas aeruginosa		CriePir24					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-07-31	JAHYBN01	207.0	SAMN20125793
GCF_022807875.1	ASM2280787v1	Pseudomonas aeruginosa		Pae_AZ01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-04-01	JAFLHZ01	16.0	SAMN14145396
GCF_032747515.1	ASM3274751v1	Escherichia coli		23-C-RB-37					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-10-16	JAWIGS01	194.0	SAMN37637188
GCF_033336455.1	ASM3333645v1	Klebsiella pneumoniae		MUWRP5936					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-11-04	JAWOXQ01		SAMN37358303
GCF_016616735.1	ASM1661673v1	Escherichia coli		BSI035					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-01-11	VHYE01	337.0	SAMN12109337
GCF_002520125.1	ASM252012v1	Escherichia coli		MOD1-EC6877					GCF_002520125.1-RS_2024_04_27	Contig	2017-10-11	NOPL01		SAMN04992243
GCF_024295165.1	ASM2429516v1	Klebsiella pneumoniae		P3-B9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-07-16	JANCNA01		SAMN29024643
GCF_029526455.1	ASM2952645v1	Klebsiella pneumoniae		JS-18					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-03-30	JALKZM01		SAMN26241646
GCF_008079565.1	ASM807956v1	Staphylococcus aureus		ST612WAP5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-08-23	VRNQ01		SAMN12496415
GCF_004314165.1	ASM431416v1	Clostridioides difficile		FD027					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-01-29	BINT01	346.0	SAMD00155809
GCF_029912065.1	ASM2991206v1	Listeria monocytogenes		2021.TE.313587.1.31					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-05-01	JARYTT01	27.0	SAMN34367001
GCF_013432975.1	ASM1343297v1	Listeria monocytogenes		174					GCF_013432975.1-RS_2024_05_16	Contig	2020-07-21	JABEON01		SAMN14786538
GCF_003994655.1	ASM399465v1	Salmonella enterica subsp. enterica serovar Typhimurium		RSE04					GCF_003994655.1-RS_2024_03_20	Complete Genome	2019-01-06		2.0	SAMN10638888
GCF_000179095.1	ASM17909v1	Escherichia coli MS 79-10		MS 79-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2010-06-30	ADWR01		SAMN00189186
GCF_039670055.1	ASM3967005v1	Streptococcus pyogenes		G0814T					GCF_039670055.1-RS_2024_05_18	Contig	2024-05-17	JAWKER01		SAMN37881246
GCF_000303375.2	ASM30337v2	Escherichia coli EC1866		EC1866					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2012-10-12	AMVD01	394.0	SAMN00808715
GCF_020295245.1	ASM2029524v1	Clostridioides difficile		TMC105V1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-10-05	JABUAG01	65.0	SAMN14989849
GCF_022764585.1	ASM2276458v1	Escherichia coli		IBD_EPEC58					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-03-31	SQOE01	92.0	SAMN11231322
GCF_029076165.1	ASM2907616v1	Klebsiella pneumoniae		ID_1027_21					GCF_029076165.1-RS_2024_05_04	Scaffold	2023-03-09	JAREOY01	120.0	SAMN33566985
GCF_026114135.1	ASM2611413v1	Klebsiella pneumoniae		bo101					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-11-09	JAPEUN01		SAMN31571293
GCF_013395565.1	ASM1339556v1	Escherichia coli		BS2R-2-C					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-07-10	JAAFBJ01		SAMN13944184
GCF_002136125.1	ASM213612v1	Pseudomonas aeruginosa		S426_C09_BS					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-05-15	NFGJ01	139.0	SAMN06761133
GCF_026014405.1	ASM2601440v1	Pseudomonas aeruginosa		AV5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-11-06	JANUXD01		SAMN30403684
GCF_011751105.1	ASM1175110v1	Salmonella enterica		SEH-19					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-03-25	JAAIFD01		SAMN14085544
GCF_030490535.1	ASM3049053v1	Klebsiella pneumoniae		2020C01-025					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-07-17		4.0	SAMN36281308
GCF_037166505.1	ASM3716650v1	Pseudomonas aeruginosa		1202-52					GCF_037166505.1-RS_2024_03_15	Scaffold	2024-03-14	JAVLDK01	143.0	SAMN37322697
GCF_021697615.1	ASM2169761v1	Escherichia coli		PEROU_8497A					GCF_021697615.1-RS_2024_03_14	Contig	2022-01-28	JAJPUW01		SAMN16278806
GCF_013402515.1	ASM1340251v1	Listeria monocytogenes		N18-1399					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-07-11	JACAVD01		SAMN15325578
GCF_002546515.1	ASM254651v1	Escherichia coli		MOD1-EC6238					GCF_002546515.1-RS_2024_04_26	Contig	2017-10-13	NNXY01		SAMN06555239
GCF_000304075.2	ASM30407v2	Escherichia coli TW15901		TW15901					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2012-10-12	AMUK01	206.0	SAMN00794593
GCF_021109455.1	ASM2110945v1	Escherichia coli		ARS-CC11328					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-12-07	JAJOEX01		SAMN21542798
GCF_027152185.1	ASM2715218v1	Klebsiella pneumoniae		41HMV001-R44					GCF_027152185.1-RS_2024_05_16	Scaffold	2022-12-20	JAJOCU01	112.0	SAMN23296567
GCF_028440635.1	ASM2844063v1	Acinetobacter baumannii		Acb_1					GCF_028440635.1-RS_2024_04_24	Contig	2023-02-02	JAIEUO01		SAMN19931262
GCF_006492055.1	ASM649205v1	Acinetobacter baumannii		MRSN489678					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-06-26	VHEN01		SAMN12087687
GCF_003686355.1	ASM368635v1	Escherichia coli		CFFY127					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-10-24	RDCU01		SAMN10187517
GCF_036455565.1	ASM3645556v1	Klebsiella pneumoniae		KLPN-IUC-05					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-08	JAYKLR01		SAMN39239663
GCF_004832565.1	ASM483256v1	Klebsiella pneumoniae		SIKP133					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-04-23	STCB01		SAMN11399484
GCF_003386395.1	ASM338639v1	Salmonella enterica subsp. enterica serovar Typhimurium		UGA10					GCF_003386395.1-RS_2024_03_20	Contig	2018-08-14	NHRB01		SAMN07160179
GCF_001606985.1	ASM160698v1	Escherichia coli		STEC 2144					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-04-04	LOGU01	244.0	SAMN04002665
GCF_002534745.1	ASM253474v1	Escherichia coli		MOD1-EC5931					GCF_002534745.1-RS_2024_04_28	Contig	2017-10-13	NKUO01		SAMN05439359
GCF_001457335.1	ASM145733v1	Klebsiella pneumoniae		KPOI-2					GCF_001457335.1-RS_2024_05_07	Contig	2015-12-04	JUBH01		SAMN03223189
GCF_036232105.1	ASM3623210v1	Pseudomonas aeruginosa		F077					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-01-26		3.0	SAMN32413577
GCF_005048825.1	ASM504882v1	Klebsiella pneumoniae		1808200001 feces					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-05-02	SUMA01		SAMN11476176
GCF_030128965.1	ASM3012896v1	Klebsiella pneumoniae		VG117					GCF_030128965.1-RS_2024_03_15	Contig	2023-05-30	JAOCNH01		SAMN30806199
GCF_002036815.1	ASM203681v1	Salmonella enterica		BCW_2518					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-03-17	MXCA01		SAMN03357130
GCF_026197475.1	ASM2619747v1	Klebsiella pneumoniae		E8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-11-15	JAMFXW01		SAMN28408398
GCF_029291175.1	ASM2929117v1	Klebsiella pneumoniae		KP197					GCF_029291175.1-RS_2024_05_19	Contig	2023-03-20	JAOALS01		SAMN30637428
GCF_031195435.1	ASM3119543v1	Serratia marcescens		SM26					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-09-06	JAVIPC01		SAMN36186416
GCF_038898755.1	ASM3889875v1	Enterococcus faecalis		MI20462027					GCF_038898755.1-RS_2024_05_04	Contig	2024-04-30	JBCGXA01		SAMN40733494
GCF_021198895.1	ASM2119889v1	Listeria monocytogenes		D145L					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-12-14	JAHVBV01		SAMN20115127
GCF_030707455.1	ASM3070745v1	Escherichia coli		MGH4C					GCF_030707455.1-RS_2024_03_16	Contig	2023-08-10	JASWEF01		SAMN35690056
GCF_029194705.1	ASM2919470v1	Escherichia coli		CREC20					GCF_029194705.1-RS_2024_05_12	Contig	2023-03-13	JARFUX01		SAMN32744903
GCF_003068905.1	ASM306890v1	Salmonella enterica subsp. enterica		CFSAN058583					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-04-23	QBJJ01		SAMN08888247
GCF_023066825.1	ASM2306682v1	Pseudomonas aeruginosa		PA1681					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-04-20		1.0	SAMN24579863
GCF_002475725.1	ASM247572v1	Escherichia coli		MOD1-EC4325					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-10-06	NWOY01		SAMN04913922
GCF_003356485.1	ASM335648v1	Acinetobacter baumannii		s233					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-03	NBHD01	53.0	SAMN06460866
GCF_026236205.1	ASM2623620v1	Escherichia coli		ECO 019					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-11-18	JAMTCZ01		SAMN29019879
GCF_003417365.1	ASM341736v1	Staphylococcus aureus		M1C036					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-08-20	BDUY01		SAMD00083452
GCF_000627175.1	ASM62717v1	Escherichia coli 1-182-04_S4_C1		1-182-04_S4_C1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2014-04-11	JJLP01		SAMN02680214
GCF_003189785.1	ASM318978v1	Listeria monocytogenes		LM-F-56					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-06-05	QABX01		SAMN08801572
GCF_016615315.1	ASM1661531v1	Escherichia coli		BSI114					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-01-11	VHVV01	130.0	SAMN12109410
GCF_025218235.1	ASM2521823v1	Klebsiella pneumoniae		KP17051					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-15	JAKLSZ01		SAMN25408306
GCF_030024925.1	ASM3002492v1	Escherichia coli		6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-05-16	JASEZY01	184.0	SAMN34372874
GCF_031934865.1	ASM3193486v1	Staphylococcus aureus		5-13					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-09-25	JASCNC01		SAMN34573421
GCF_031702185.1	ASM3170218v1	Escherichia coli		MUWRP5478					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-09-19	JASNHI01		SAMN35449786
GCF_037942165.1	ASM3794216v1	Clostridioides difficile		Z1322HCD0002					GCF_037942165.1-RS_2024_04_05	Complete Genome	2024-04-05		1.0	SAMN40440806
GCF_002761455.1	ASM276145v1	Salmonella enterica subsp. enterica serovar Montevideo str. CDC 2011K-1674		CDC 2011K-1674					GCF_002761455.1-RS_2024_05_14	Complete Genome	2017-11-07		1.0	SAMN02716887
GCF_002326045.1	ASM232604v1	Pseudomonas aeruginosa		U1o-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-09-21	NQZF01		SAMN07504861
GCF_013368135.1	ASM1336813v1	Salmonella enterica subsp. enterica serovar Infantis		92s					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-06-23	JAAGKX01		SAMN13978507
GCF_025292015.1	ASM2529201v1	Salmonella enterica subsp. enterica serovar Oranienburg		IRV-79					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-19	JAMBVA01		SAMN27916033
GCF_037929465.1	ASM3792946v1	Clostridioides difficile		Z1322HCD0092					GCF_037929465.1-RS_2024_04_05	Complete Genome	2024-04-05		1.0	SAMN40440823
GCF_028493115.1	ASM2849311v1	Salmonella enterica		G1437					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-02-06	JABYNI01	25.0	SAMN15339494
GCF_014560585.1	ASM1456058v1	Acinetobacter baumannii		130711					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-09-15	JABJSO01	27.0	SAMN14943625
GCF_009796945.1	ASM979694v1	Staphylococcus aureus		yw20191					GCF_009796945.1-RS_2024_03_16	Contig	2019-12-24	VMNG01		SAMN12330917
GCF_005786425.1	ASM578642v1	Acinetobacter baumannii		AB159					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-05-23	VARG01	87.0	SAMN11607767
GCF_900498645.1	ASMTUEKL_48	Klebsiella pneumoniae					ID_48		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-08	UIEU01	71.0	SAMEA4807872
